name,followers,likes,comments,growth_rate,engagement_rate,account_age_days,fraud_risk_score,vetting_action,predicted_fraud,novel_pattern_flag
influencer_1,222556,3117,144,3.93,1.4,1518,0.0,APPROVE - Low fraud risk,0,
influencer_2,484557,10803,630,5.92,2.23,1235,0.0,APPROVE - Low fraud risk,0,
influencer_3,178173,5961,352,2.66,3.35,1361,0.0,APPROVE - Low fraud risk,0,
influencer_4,2233803,72414,3890,10.86,3.24,1712,0.3,APPROVE - Low fraud risk,0,
influencer_5,151213,3877,206,-2.52,2.56,958,0.0,APPROVE - Low fraud risk,0,
influencer_6,155589,4208,100,5.58,2.7,1065,0.0,APPROVE - Low fraud risk,0,
influencer_7,2603137,99416,3322,0.26,3.82,1694,0.2,APPROVE - Low fraud risk,0,
influencer_8,916340,35278,1008,2.43,3.85,185,0.1,APPROVE - Low fraud risk,0,
influencer_9,90628,2543,97,2.28,2.81,1558,0.0,APPROVE - Low fraud risk,0,
influencer_10,416471,7049,327,7.47,1.69,377,1.3,APPROVE - Low fraud risk,0,
influencer_11,204223,4538,236,8.93,2.22,1822,1.0,APPROVE - Low fraud risk,0,
influencer_12,173067,3432,80,4.46,1.98,1139,0.0,APPROVE - Low fraud risk,0,
influencer_13,1580511,24779,904,-2.4,1.57,368,0.0,APPROVE - Low fraud risk,0,
influencer_14,61983,1723,74,3.98,2.78,1287,0.0,APPROVE - Low fraud risk,0,
influencer_15,2306771,53449,2681,4.14,2.32,293,0.0,APPROVE - Low fraud risk,0,
influencer_16,690382,24182,1058,4.55,3.5,1470,0.0,APPROVE - Low fraud risk,0,
influencer_17,76721,2659,92,2.4,3.47,527,0.1,APPROVE - Low fraud risk,0,
influencer_18,702468,29137,1530,3.97,4.15,895,0.4,APPROVE - Low fraud risk,0,
influencer_19,925742,36053,845,2.5,3.89,637,0.1,APPROVE - Low fraud risk,0,
influencer_20,499536,18697,855,3.2,3.74,1222,0.0,APPROVE - Low fraud risk,0,
influencer_21,367070,14792,488,-1.26,4.03,98,0.0,APPROVE - Low fraud risk,0,
influencer_22,2117857,49840,1749,1.42,2.35,1852,0.0,APPROVE - Low fraud risk,0,
influencer_23,297331,10520,439,2.1,3.54,645,0.1,APPROVE - Low fraud risk,0,
influencer_24,4231019,142043,5741,4.43,3.36,632,0.6,APPROVE - Low fraud risk,0,
influencer_25,412626,12146,2239,14.26,2.94,648,97.9,REJECT - High fraud risk,1,
influencer_26,1184349,23619,1587,9.27,1.99,1852,0.7,APPROVE - Low fraud risk,0,
influencer_27,178703,6268,273,1.65,3.51,1894,0.0,APPROVE - Low fraud risk,0,
influencer_28,145061,6551,364,-2.86,4.52,365,0.0,APPROVE - Low fraud risk,0,
influencer_29,679379,384,8,30.6,0.06,169,100.0,REJECT - High fraud risk,1,
influencer_30,187694,5361,242,3.84,2.86,1190,0.0,APPROVE - Low fraud risk,0,
influencer_31,328410,13976,755,2.36,4.26,564,0.1,APPROVE - Low fraud risk,0,
influencer_32,733310,20208,941,10.08,2.76,1956,0.5,APPROVE - Low fraud risk,0,
influencer_33,260842,4684,1363,-4.93,1.8,232,84.0,REJECT - High fraud risk,1,
influencer_34,81181,1704,816,-6.14,2.1,385,87.7,REJECT - High fraud risk,1,
influencer_35,883526,38091,1347,2.72,4.31,1411,0.0,APPROVE - Low fraud risk,0,
influencer_36,232079,5336,341,-0.66,2.3,1827,0.3,APPROVE - Low fraud risk,0,
influencer_37,4137369,84596,3530,4.27,2.04,1620,0.0,APPROVE - Low fraud risk,0,
influencer_38,417536,22793,1487,1.38,5.46,1774,0.4,APPROVE - Low fraud risk,0,
influencer_39,137104,1715,320,16.83,1.25,646,66.6,MANUAL REVIEW - Audit history,1,
influencer_40,2416527,98893,4768,-0.34,4.09,401,0.2,APPROVE - Low fraud risk,0,
