name,followers,likes,comments,growth_rate,engagement_rate,account_age_days,anomaly_score,anomaly_percentile,transfer_fraud_probability_UNVALIDATED,vetting_action,signals_disagree_flag
influencer_1,1693743,74365,5060,4.75,4.39,1682,2.8,2.96,0.6,APPROVE - Not a statistical outlier,
influencer_2,4305572,133506,4003,17.31,3.1,1474,20.1,78.18,11.3,APPROVE - Not a statistical outlier,
influencer_3,4927484,219158,18349,2.12,4.45,75,34.8,93.66,2.7,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_4,2235489,60803,4337,0.86,2.72,629,3.9,7.84,0.2,APPROVE - Not a statistical outlier,
influencer_5,1571006,37488,3373,1.89,2.39,749,4.3,9.62,1.4,APPROVE - Not a statistical outlier,
influencer_6,1137074,68035,5632,3.46,5.98,1942,9.2,41.25,18.2,APPROVE - Not a statistical outlier,
influencer_7,4045887,192339,5571,1.89,4.75,1322,8.2,34.74,0.2,APPROVE - Not a statistical outlier,
influencer_8,1240911,187563,9469,47.59,15.12,630,31.2,91.22,42.5,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_9,4473471,124203,10180,-0.42,2.78,410,15.4,67.97,0.6,APPROVE - Not a statistical outlier,
influencer_10,2139242,26650,1422,4.57,1.25,147,16.8,71.58,1.2,APPROVE - Not a statistical outlier,
influencer_11,4524669,52272,5111,4.23,1.16,2193,15.9,69.27,0.0,APPROVE - Not a statistical outlier,
influencer_12,4982505,184420,14543,30.98,3.7,289,34.5,93.42,40.4,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_13,1767891,282251,5995,31.46,15.97,1128,30.1,90.35,9.3,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_14,4522373,166735,15072,2.09,3.69,1533,8.2,34.74,0.9,APPROVE - Not a statistical outlier,
influencer_15,3345769,174111,4886,4.38,5.2,2382,8.4,36.04,0.2,APPROVE - Not a statistical outlier,
influencer_16,792743,9252,289,3.75,1.17,2084,11.1,51.6,0.0,APPROVE - Not a statistical outlier,
influencer_17,104355,2957,232,3.9,2.83,395,11.2,52.04,0.1,APPROVE - Not a statistical outlier,
influencer_18,1263752,27617,2463,0.86,2.19,1687,5.2,14.57,1.6,APPROVE - Not a statistical outlier,
influencer_19,1397025,45212,2844,1.54,3.24,2600,3.8,7.33,0.2,APPROVE - Not a statistical outlier,
influencer_20,1308371,17818,768,3.24,1.36,1491,6.0,19.939999999999998,0.0,APPROVE - Not a statistical outlier,
influencer_21,918040,52976,2548,1.23,5.77,2054,9.5,43.15,0.6,APPROVE - Not a statistical outlier,
influencer_22,2254882,47719,2263,1.96,2.12,2506,3.0,3.74,0.2,APPROVE - Not a statistical outlier,
influencer_23,3531409,198166,9142,2.88,5.61,820,7.5,29.880000000000003,0.4,APPROVE - Not a statistical outlier,
influencer_24,4850115,151782,5985,1.63,3.13,776,8.5,36.75,0.4,APPROVE - Not a statistical outlier,
influencer_25,4722339,279922,19233,3.76,5.93,2444,18.3,74.91,1.9,APPROVE - Not a statistical outlier,
influencer_26,4843447,182612,16806,-0.3,3.77,342,28.5,88.92,0.9,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_27,1501942,84922,3784,3.31,5.65,567,5.3,15.27,0.9,APPROVE - Not a statistical outlier,
influencer_28,4261029,43749,1528,-0.13,1.03,950,12.4,57.63,0.0,APPROVE - Not a statistical outlier,
influencer_29,3276709,155355,13529,4.63,4.74,1107,6.3,21.55,11.6,APPROVE - Not a statistical outlier,
influencer_30,85654,4724,374,0.88,5.52,1520,17.3,73.00999999999999,7.3,APPROVE - Not a statistical outlier,
influencer_31,1955354,33213,3137,3.77,1.7,2942,12.4,57.63,1.0,APPROVE - Not a statistical outlier,
influencer_32,2417182,35789,1189,2.13,1.48,2859,10.7,49.99,0.0,APPROVE - Not a statistical outlier,
influencer_33,3475675,108540,3423,-0.45,3.12,2411,8.8,38.690000000000005,0.2,APPROVE - Not a statistical outlier,
influencer_34,2653991,303541,19218,12.53,11.44,827,24.9,85.34,37.3,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_35,2429388,150393,10400,12.15,6.19,377,21.6,80.66,16.6,APPROVE - Not a statistical outlier,
influencer_36,529178,23464,1370,44.62,4.43,302,21.2,80.01,37.1,APPROVE - Not a statistical outlier,
influencer_37,2664046,45438,3086,0.93,1.71,749,4.9,12.86,0.2,APPROVE - Not a statistical outlier,
influencer_38,2587644,25978,894,1.63,1.0,1803,9.5,43.15,0.0,APPROVE - Not a statistical outlier,
influencer_39,2571406,129874,7580,0.65,5.05,2577,9.5,43.15,0.2,APPROVE - Not a statistical outlier,
influencer_40,3417664,49141,3569,4.66,1.44,714,6.9,25.8,0.6,APPROVE - Not a statistical outlier,
influencer_41,3386659,141198,7711,1.27,4.17,2156,4.2,9.19,0.2,APPROVE - Not a statistical outlier,
influencer_42,3386357,188724,14032,2.95,5.57,651,9.0,39.94,11.4,APPROVE - Not a statistical outlier,
influencer_43,2796513,57140,3205,0.34,2.04,2069,5.6,17.31,0.2,APPROVE - Not a statistical outlier,
influencer_44,1466689,270915,12648,45.11,18.47,976,35.1,93.85,39.8,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_45,69148,963,42,0.06,1.39,2435,18.7,75.73,0.0,APPROVE - Not a statistical outlier,
influencer_46,1826665,73409,3881,1.61,4.02,2695,4.3,9.62,0.2,APPROVE - Not a statistical outlier,
influencer_47,2746683,49980,1091,2.2,1.82,536,11.5,53.73,0.0,APPROVE - Not a statistical outlier,
influencer_48,3398723,159052,11687,-0.94,4.68,1612,7.3,28.63,0.6,APPROVE - Not a statistical outlier,
influencer_49,3004758,75303,6597,4.0,2.51,2653,6.8,25.019999999999996,1.0,APPROVE - Not a statistical outlier,
influencer_50,4057518,134586,6509,2.08,3.32,273,10.0,45.910000000000004,0.6,APPROVE - Not a statistical outlier,
influencer_51,2670995,134774,3191,46.41,5.05,535,23.7,83.63000000000001,29.6,APPROVE - Not a statistical outlier,
influencer_52,4451812,82641,8176,-0.6,1.86,451,17.3,73.00999999999999,0.9,APPROVE - Not a statistical outlier,
influencer_53,4998895,751099,30867,33.78,15.03,2294,40.6,97.0,29.7,MANUAL REVIEW - Top 5% anomaly,Unsupervised flags anomaly; transfer model does not recognize pattern - review
influencer_54,4799669,172536,5198,47.43,3.59,1902,25.7,86.24000000000001,20.0,"CAUTION - Top 15% anomaly, monitor 2-4 weeks",
influencer_55,1871928,80714,4001,2.0,4.31,1222,1.5,0.2,0.6,APPROVE - Not a statistical outlier,
